Severity,Name,Status,Exploitability,Last Seen,Source,Location
MEDIUM,CVE-2024-29041,EXISTING,0,2026-03-31T18:15:22.737Z,SCA,express:4.15.2
LOW,CVE-2024-47764,EXISTING,0,2026-03-31T18:15:22.742Z,SCA,cookie:0.3.1
LOW,CVE-2024-43799,EXISTING,0,2026-03-31T18:15:22.744Z,SCA,send:0.15.1
HIGH,CVE-2024-21538,EXISTING,0,2026-03-31T18:15:22.749Z,SCA,cross-spawn:6.0.5
HIGH,CVE-2026-29063,EXISTING,0,2026-03-31T18:15:22.751Z,SCA,immutable:4.3.1
HIGH,CVE-2024-45296,EXISTING,0,2026-03-31T18:15:22.754Z,SCA,path-to-regexp:0.1.7
HIGH,CVE-2024-45296,EXISTING,0,2026-03-31T18:15:22.756Z,SCA,path-to-regexp:2.4.0
CRITICAL,CVE-2022-0686,EXISTING,50,2026-04-02T00:53:38.692Z,SCA,url-parse:1.5.1
MEDIUM,CVE-2025-58181,EXISTING,0,2026-03-31T18:15:22.760Z,SCA,golang.org/x/crypto:v0.36.0
MEDIUM,CVE-2024-53382,EXISTING,0,2026-03-31T18:15:22.764Z,SCA,prismjs:1.27.0
HIGH,CVE-2024-36621,EXISTING,0,2026-03-31T18:15:22.767Z,SCA,github.com/moby/moby:v25.0.14+incompatible
LOW,CVE-2024-43796,EXISTING,0,2026-03-31T18:15:22.768Z,SCA,express:4.15.2
LOW,CVE-2017-16137,EXISTING,0,2026-03-31T18:15:22.772Z,SCA,debug:2.6.1
MEDIUM,CVE-2026-33750,NEW,0,2026-03-31T18:15:22.793Z,SCA,brace-expansion:1.1.11
MEDIUM,CVE-2026-33750,NEW,0,2026-03-31T18:15:22.816Z,SCA,brace-expansion:1.1.8
MEDIUM,CVE-2025-15284,EXISTING,0,2026-03-31T18:15:22.842Z,SCA,qs:6.11.0
MEDIUM,CVE-2025-15284,EXISTING,0,2026-03-31T18:15:22.843Z,SCA,qs:6.11.2
MEDIUM,CVE-2025-15284,EXISTING,0,2026-03-31T18:15:22.844Z,SCA,qs:6.14.0
HIGH,CVE-2026-33891,NEW,0,2026-03-31T18:15:22.861Z,SCA,node-forge:0.10.0
HIGH,CVE-2026-33671,NEW,0,2026-03-31T18:15:22.912Z,SCA,picomatch:2.3.1
HIGH,CVE-2026-4867,NEW,0,2026-03-31T18:15:22.967Z,SCA,path-to-regexp:0.1.12
HIGH,CVE-2026-33895,NEW,0,2026-03-31T18:15:23.030Z,SCA,node-forge:0.10.0
HIGH,CVE-2026-33894,NEW,0,2026-03-31T18:15:23.092Z,SCA,node-forge:0.10.0
LOW,CVE-2026-2391,EXISTING,0,2026-03-31T18:15:23.160Z,SCA,qs:6.11.0
LOW,CVE-2026-2391,EXISTING,0,2026-03-31T18:15:23.162Z,SCA,qs:6.11.2
LOW,CVE-2026-2391,EXISTING,0,2026-03-31T18:15:23.164Z,SCA,qs:6.14.0
MEDIUM,CVE-2025-13465,EXISTING,0,2026-03-31T18:15:23.166Z,SCA,lodash:4.17.11
HIGH,CVE-2026-27903,EXISTING,0,2026-03-31T18:15:23.174Z,SCA,minimatch:3.0.4
HIGH,CVE-2026-27903,EXISTING,0,2026-03-31T18:15:23.176Z,SCA,minimatch:3.1.2
HIGH,CVE-2026-26996,EXISTING,0,2026-03-31T18:15:23.180Z,SCA,minimatch:3.0.4
HIGH,CVE-2026-26996,EXISTING,0,2026-03-31T18:15:23.182Z,SCA,minimatch:3.1.2
MEDIUM,CVE-2026-33809,NEW,0,2026-03-31T18:15:23.210Z,SCA,golang.org/x/image:v0.33.0
HIGH,CVE-2026-27904,EXISTING,0,2026-03-31T18:15:23.222Z,SCA,minimatch:3.1.2
HIGH,CVE-2026-27904,EXISTING,0,2026-03-31T18:15:23.224Z,SCA,minimatch:5.1.6
HIGH,CVE-2026-32286,NEW,0,2026-03-31T18:15:23.248Z,SCA,github.com/jackc/pgproto3/v2:v2.3.3
HIGH,CVE-2026-33896,NEW,0,2026-03-31T18:15:23.280Z,SCA,node-forge:0.10.0
MEDIUM,CVE-2025-64718,EXISTING,0,2026-03-31T18:15:23.318Z,SCA,js-yaml:3.13.1
MEDIUM,CVE-2025-64718,EXISTING,0,2026-03-31T18:15:23.319Z,SCA,js-yaml:3.14.1
HIGH,CVE-2026-27601,EXISTING,0,2026-03-31T18:15:23.323Z,SCA,underscore:1.13.6
MEDIUM,CVE-2026-2739,EXISTING,0,2026-03-31T18:15:23.330Z,SCA,bn.js:4.12.0
MEDIUM,CVE-2026-2739,EXISTING,0,2026-03-31T18:15:23.333Z,SCA,bn.js:5.2.1
MEDIUM,CVE-2025-47914,EXISTING,0,2026-03-31T18:15:23.336Z,SCA,golang.org/x/crypto:v0.36.0
MEDIUM,CVE-2025-69873,EXISTING,0,2026-03-31T18:15:23.341Z,SCA,ajv:6.12.6
LOW,CVE-2025-5889,EXISTING,0,2026-03-31T18:15:23.345Z,SCA,brace-expansion:1.1.11
LOW,CVE-2026-24001,EXISTING,0,2026-03-31T18:15:23.355Z,SCA,diff:3.3.1
LOW,CVE-2026-24001,EXISTING,0,2026-03-31T18:15:23.358Z,SCA,diff:4.0.2
CRITICAL,GHSA-vjh7-7g9h-fjfh,EXISTING,0,2026-03-31T18:15:23.374Z,SCA,elliptic:6.5.4
